iso3,name,capital,region,income_level,latitude,longitude,population,population_density,area_km2,urban_pct,gdp_usd,gdp_per_capita_usd,gdp_growth_pct,inflation_pct,unemployment_pct,life_expectancy_years,internet_users_pct
MDV,Maldives,Male,South Asia,Upper middle income,4.1742,73.5109,527799,1765.08053691275,300,41.9982152717385,7061608267.25451,13379.3513577224,3.49440422654285,1.41093527910134,4.278,81.285,85.23999786
MEX,Mexico,Mexico City,Latin America & Caribbean ,Upper middle income,19.427,-99.1276,130861007,66.7402757272564,1957193.9,79.7538805976118,1830489311088.89,13988.0423745241,1.35057631384696,4.72225588452932,2.678,75.264,83.12233799
MHL,Marshall Islands,Majuro,East Asia & Pacific,Upper middle income,7.11046,171.135,37548,215.705555555556,180,78.7325660244112,285000000,7590.28443592202,3.30188679245282,,,67.075,65.915802
MKD,North Macedonia,Skopje,Europe & Central Asia,Upper middle income,42.0024,21.4361,1824359,72.474861221253,25710,62.5645376928533,16951682221.3962,9291.8566035502,2.99373536567732,3.48974086026954,12.265,76.6165853658537,93.6
MLI,Mali,Bamako,Sub-Saharan Africa ,Low income,13.5667,-7.50034,24478595,19.4798572353486,1240190,31.6075621182225,26761281076.7658,1093.2523323649,5.01653579205785,3.2063986409966,2.924,60.675,36.80149841
MLT,Malta,Valletta,"Middle East, North Africa, Afghanistan & Pakistan",High income,35.9042,14.5189,568847,1727.334375,320,95.6546264490509,25042712191.3281,44023.6341078148,6.21275996991034,1.65079469283109,3.1,82.9560975609756,93.86029816
MMR,Myanmar,Naypyidaw,East Asia & Pacific,Lower middle income,21.914,95.9562,54500091,82.9420656687147,676590,30.4499084074136,74068349523.8095,1359.05001560107,-0.97204641363362,8.82506696804558,2.887,67.095,45.4477005
MNE,Montenegro,Podgorica,Europe & Central Asia,Upper middle income,42.4602,19.2595,623525,46.3590334572491,13888,65.5422314706266,8274290505.96367,13270.1824401005,3.16409886329913,3.33675009282281,13.206,77.890243902439,88.88258428
MNG,Mongolia,Ulaanbaatar,East Asia & Pacific,Upper middle income,47.9129,106.937,3524788,2.23365125312889,1564115.75,70.9566040039062,23794540024.5132,6750.6301157724,5.12204539122661,6.1977990165842,5.158,72.3980487804878,85.12349701
MNP,Northern Mariana Islands,Saipan,East Asia & Pacific,High income,15.1935,145.765,44278,98.1369565217391,460,92.0747260922394,1096000000,23785.754590043,16.6427546628408,,,78.947,
MOZ,Mozambique,Maputo,Sub-Saharan Africa ,Low income,-25.9664,32.5713,34631766,42.7721457819375,799380,36.4332337447237,22752244245.473,656.976148587772,2.14892499135355,4.07856834812022,6.668,63.797,20.52729988
MRT,Mauritania,Nouakchott,Sub-Saharan Africa ,Lower middle income,18.2367,-15.9824,5169395,4.87284466867178,1030700,60.6068586411829,10879212033.4823,2104.54260769051,6.3076021190402,2.49164347481972,10.257,68.713,45.77939987
MUS,Mauritius,Port Louis,Sub-Saharan Africa ,Upper middle income,-20.1605,57.4977,1245779,625.261392088132,2010,39.0162147027917,14938055690.3609,11990.9355434317,4.94844235250574,3.6045220384796,5.548,73.7890243902439,73.30793533
MWI,Malawi,Lilongwe,Sub-Saharan Africa ,Low income,-13.9899,33.7703,21655286,223.84898175647,118480,17.268503531213,11311971400.3864,522.365366146003,1.6734340852915,32.1796504225025,5.051,67.561,18.96159935
MYS,Malaysia,Kuala Lumpur,East Asia & Pacific,Upper middle income,3.12433,101.684,35557673,106.913096941105,330411,76.9170296648992,422227005428.688,11874.4273684245,5.10545921024041,1.834100204499,3.846,76.821,98.0206059
NAM,Namibia,Windhoek,Sub-Saharan Africa ,Lower middle income,-22.5648,17.0931,3030131,3.59909023551847,824290,50.4088030252155,13641190683.4641,4501.84849548225,3.77851723267591,4.23903922877036,19.157,67.516,64.87460327
NCL,New Caledonia,Noum'ea,East Asia & Pacific,High income,-22.2677,166.464,292639,15.8572210065646,18580,67.9514695585577,8548919387.12607,29213.1923192946,-13.4999999989747,,10.991,78.921,
NER,Niger,Niamey,Sub-Saharan Africa ,Low income,13.514,2.1073,27032412,20.6519831057077,1267000,18.0497398450803,19729786046.7618,729.856664168989,8.32327058280728,9.07151997725013,0.376,61.433,15.55760002
NGA,Nigeria,Abuja,Sub-Saharan Africa ,Lower middle income,9.05804,7.48906,232679478,250.20910328623,923770,62.9755675573659,252261880140.271,1084.16041805058,4.07106650147703,33.2416590552749,3.045,54.635,41.21139908
NIC,Nicaragua,Managua,Latin America & Caribbean ,Lower middle income,12.1475,-86.2734,6916140,56.702783779292,130370,59.2628402709961,19696311850.3289,2847.87639497305,3.58094495324541,4.62473841057141,4.98,75.1,61.39550018
NLD,Netherlands,Amsterdam,Europe & Central Asia,High income,52.3738,4.89095,17993485,530.950905850906,41540,95.6396517079336,1213936238063.28,67465.3208126875,1.07383137319854,3.34754304219953,3.7,81.9658536585366,97.00679779
NOR,Norway,Oslo,Europe & Central Asia,High income,59.9138,10.7387,5572279,15.1524995195871,624500,83.3293737928469,500886328034.123,89888.9535204758,1.42372134524737,3.14530134431081,4,83.1609756097561,99
NPL,Nepal,Kathmandu,South Asia,Lower middle income,27.6939,85.3157,29651054,207.147638646669,147180,66.772343163029,43298911699.9284,1460.28237984149,3.67787459697703,4.6850965426577,10.5,70.636,46.32189941
NRU,Naoero,Yaren District,East Asia & Pacific,High income,-0.5477,166.920867,11947,593.75,20,100,167833414.846177,14048.163961344,1.44927536231899,,,62.279,83.01170349
NZL,New Zealand,Wellington,East Asia & Pacific,High income,-41.2865,174.776,5290000,19.7485853176864,267710,83.9370658833132,261497198363.906,49432.3626396797,-0.868722371893952,2.92279782301957,4.724,82.009756097561,93.51930237
OMN,Oman,Muscat,"Middle East, North Africa, Afghanistan & Pakistan",High income,23.6105,58.5874,5281538,16.3142778675283,309500,79.4440302814714,107137198699.61,20285.2272765262,1.63163231397978,0.593589236248469,3.203,80.246,95.25174678
PAK,Pakistan,Islamabad,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,30.5167,72.8,251269164,321.067474833956,796100,39.1734368360905,371747087751.306,1479.47755241191,3.08176295579301,12.6325318530452,5.492,67.799,57.253
PAN,Panama,Panama City,Latin America & Caribbean ,High income,8.99427,-79.5188,4515577,60.1072930709086,75320,65.9958447685488,86523959100,19161.218843129,2.74784148771307,0.69322555100446,8.451,79.775,72.77149963
PER,Peru,Lima,Latin America & Caribbean ,Upper middle income,-12.0931,-77.0465,34217848,26.44188828125,1285215.6,85.1912729600355,291751523018.903,8526.29665719783,3.5152749274832,2.00770739412712,5.199,77.941,81.95705992
PHL,Philippines,Manila,East Asia & Pacific,Upper middle income,14.5515,121.035,115843670,385.321122178623,300000,55.4520983215477,461671157904.74,3985.29464669706,5.71474526128652,3.21260487006347,2.202,69.946,67.26300914
PLW,Palau,Koror,East Asia & Pacific,High income,7.34194,134.479,17695,38.5369565217391,460,79.2095042878667,321501812.5,18169.0767165866,12.0059720184866,2.23172772921704,,69.383,83.92549896
PNG,Papua New Guinea,Port Moresby,East Asia & Pacific,Lower middle income,-9.47357,147.194,10576502,22.9422669257607,462840,15.4061816403333,30803971189.4102,2912.4914068385,3.88795324667848,0.602403921107917,2.625,66.256,18.81159973
POL,Poland,Warsaw,Europe & Central Asia,High income,52.26,21.02,36559233,119.787615502661,313930,59.9705468695101,917767106146.761,25103.565661423,3.02841630700273,3.79060897630197,2.807,78.409756097561,88.58496367
PRI,Puerto Rico (US),San Juan,Latin America & Caribbean ,High income,18.23,-66,3202521,361.194363021421,8870,94.2539505199436,126029527033.705,39353.2242360643,3.17707554784896,,5.639,81.902,87.29178106
PRK,"Korea, Dem. People's Rep.",Pyongyang,East Asia & Pacific,Low income,39.0319,125.754,26498823,219.402076239515,120540,63.8589748211522,,,,,3.539,73.743,
PRT,Portugal,Lisbon,Europe & Central Asia,High income,38.7072,-9.13552,10694681,115.475189289738,92230,61.3281907341332,313656884870.859,29328.3067415343,2.21459232301109,2.41613187791876,6.5,82.3829268292683,88.48704454
PRY,Paraguay,Asuncion,Latin America & Caribbean ,Upper middle income,-25.3005,-57.6362,6929153,17.282671943072,406752,69.8622585886961,44738819362.3269,6456.60723068562,4.66914577981763,3.83540271728533,5.686,73.982,81.57806793
PSE,West Bank and Gaza,,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,,5289152,857.390041493776,6025,87.1196014117004,16016900000,3028.25481286981,-22.8573273913324,53.6691458303782,24.42,69.213,86.63765334
PYF,French Polynesia,Papeete,East Asia & Pacific,High income,-17.535,-149.57,281807,80.990492653414,3471,61.7191984724331,6323716355.05009,22439.8838746025,1.12638897730247,,11.613,84.192,
QAT,Qatar,Doha,"Middle East, North Africa, Afghanistan & Pakistan",High income,25.2948,51.5082,2857822,231.160313315927,11490,99.3219891728394,216294505494.505,75685.0865779973,3.10963283242745,1.26734310292375,0.13,82.522,98.08540344
ROU,Romania,Bucharest,Europe & Central Asia,High income,44.4479,26.0979,19051804,82.8453668289291,238400,52.1674778928768,382564217988.866,20080.2096215595,0.916003764382594,5.72140574354439,5.4,76.4585365853659,91.29048551
RUS,Russian Federation,Moscow,Europe & Central Asia,High income,55.7558,37.6176,143669648,8.78227219242749,17125190,75.1119136177067,2186462268813.08,14961.8974609375,4.92167966203073,8.43486410496723,2.43,73.4404878048781,94.36495368
RWA,Rwanda,Kigali,Sub-Saharan Africa ,Low income,-1.95325,30.0587,14256567,565.645358735306,26338,29.8849714294083,15111064181.9687,1059.93709298801,7.22717103344534,1.77029240198635,11.331,68.017,31.70330048
SAU,Saudi Arabia,Riyadh,"Middle East, North Africa, Afghanistan & Pakistan",High income,24.6748,46.6977,35300280,15.6779493787476,2149690,84.4554020211443,1254140800000,35527.786181866,2.64893068308965,1.68792112375809,3.518,78.982,100
SDN,Sudan,Khartoum,Sub-Saharan Africa ,Low income,15.5932,32.5363,50448963,26.7895026766595,1878000,34.8673015510839,49672435513.1126,984.607666015625,-13.9643378424022,138.80846024176,7.53,66.521,
SEN,Senegal,Dakar,Sub-Saharan Africa ,Lower middle income,14.7247,-17.4734,18501984,93.8948371682335,196710,55.2368169057304,32169996051.8502,1738.73223822106,6.46220577412338,0.804503298792438,2.788,68.924,60.11780167
SGP,Singapore,Singapore,East Asia & Pacific,High income,1.28941,103.85,6036860,8241.8495821727,728,100,572877260178.427,94896.5621495988,5.3435120192366,2.38951123595017,2.737,83.3463414634146,94.37757178
SLB,Solomon Islands,Honiara,East Asia & Pacific,Lower middle income,-9.42676,159.949,819198,28.581814933905,28900,30.6617188562194,1583964703.75061,1933.55538435227,2.99755987604104,4.32183948388033,1.444,70.694,29.04070091
SLE,Sierra Leone,Freetown,Sub-Saharan Africa ,Low income,8.4821,-13.2134,8642022,117.214075921308,72300,45.3626823156371,6971127234.07241,806.654650274255,4.29322334404611,28.6337500014115,3.103,61.964,25.10499954
SLV,El Salvador,San Salvador,Latin America & Caribbean ,Upper middle income,13.7034,-89.2073,6338193,304.518532818533,21040,75.0674905102199,34879730000,5503.10317151907,2.5904637107794,0.853782292567288,3.261,72.302,66.47769928
SMR,San Marino,San Marino,Europe & Central Asia,High income,43.9322,12.4486,33977,564.333333333333,60,97.1560555881096,2027243193.5116,59871.3288101478,0.401932371532837,1.24216507945569,,85.817,97.35220337
SOM,"Somalia, Fed. Rep.",Mogadishu,Sub-Saharan Africa ,Low income,2.07515,45.3254,19009151,29.2642187649441,637660,54.6176465524521,11967000000,629.538899449007,4.11139335779471,,18.949,58.967,27.94020081
SRB,Serbia,Belgrade,Europe & Central Asia,Upper middle income,44.8024,20.4656,6586476,78.7630277084077,84990,62.3830029804177,90088366320.4062,13677.7794863909,3.94992622592932,4.6705297488997,7.24,75.9682926829268,87.69071294
SSD,South Sudan,Juba,Sub-Saharan Africa ,Low income,4.85,31.6,11943408,18.1719082809805,646883,21.3768190444906,,,,91.4408220769046,12.374,57.738,6.671000004
STP,Sao Tome and Principe,Sao Tome,Sub-Saharan Africa ,Lower middle income,0.20618,6.6071,235536,240.490625,960,68.8710170184884,824992558.045383,3502.6176807171,1.47888850952698,14.3519273571008,9.057,69.905,59.11759949
SUR,Suriname,Paramaribo,Latin America & Caribbean ,Upper middle income,5.8232,-55.1679,634431,3.91810706046897,163820,65.7641857200885,4416775112.72266,6961.78956060258,1.72095749127065,16.2296159130279,7.621,73.757,87.4
SVK,Slovak Republic,Bratislava,Europe & Central Asia,High income,48.1484,17.1073,5422069,112.868968386023,49030,53.1919702985684,140934076532.375,25992.6748502048,1.93867445549446,2.75760909424279,5.3,78.3707317073171,89.82507032
SVN,Slovenia,Ljubljana,Europe & Central Asia,High income,46.0546,14.5044,2127400,105.31480791676,20480,55.7577708405917,72972015197.3859,34301.0318686594,1.73139722479493,1.96562656432505,3.7,82.2853658536585,90.76355487
SWE,Sweden,Stockholm,Europe & Central Asia,High income,59.3327,18.0645,10569709,25.8713678886243,528660,88.8559748346228,604827393488.582,57222.7100565003,1.01779633304398,2.83581658224034,8.4,84.0634146341463,95.52930428
SWZ,Eswatini,Mbabane,Sub-Saharan Africa ,Lower middle income,-26.5225,31.4659,1242822,71.5410465116279,17360,26.2498461258639,4858885840.77236,3909.55892378182,3.03162462475916,2.59801620311077,34.643,64.264,63.40309906
SXM,Sint Maarten (Dutch part),Philipsburg,Latin America & Caribbean ,High income,,,43350,1257.32352941176,34,100,1797836648.04469,41472.5870367865,3.00000089532888,,,76.528,
SYC,Seychelles,Victoria,Sub-Saharan Africa ,High income,-4.6309,55.4466,121354,260.376086956522,460,45.2898622460415,2228608684.29911,18364.5259678223,3.34667429007052,0.311726050919668,,76.2951219512195,87.81800079
SYR,Syrian Arab Republic,Damascus,"Middle East, North Africa, Afghanistan & Pakistan",Low income,33.5146,36.3119,24672760,128.490023416653,185180,72.0761345758254,23737634644.3994,1056.78264718197,-0.20247264200475,13.4175653228571,13.359,72.56,33.77000046
TCA,Turks and Caicos Islands,Grand Turk,Latin America & Caribbean ,High income,21.4602778,-71.141389,46535,48.6294736842105,950,94.1670917861964,1745378000,37506.7798431288,5.63682517443362,,,78.181,
